stage,epoch,dataset,mask_strategy,mask_ratio,nmse,nmse_db,last_nmse,last_nmse_db
0,0,city_0_newyork_3p5_s,fre,0.5,0.9250268,-0.33845696,0.9116392,-0.40177003
0,0,city_1_losangeles_3p5,fre,0.5,0.9742841,-0.113143794,0.98760694,-0.054158658
0,0,city_2_chicago_3p5,fre,0.5,0.97556996,-0.107415795,0.9843483,-0.06851206
0,0,city_3_houston_3p5,fre,0.5,0.96124506,-0.17165878,0.97016406,-0.13154818
0,0,city_4_phoenix_3p5,fre,0.5,0.9631086,-0.16324739,0.9742934,-0.11310235
0,0,city_5_philadelphia_3p5,fre,0.5,0.9697539,-0.13338456,0.98582137,-0.062017735
0,0,city_6_miami_3p5,fre,0.5,0.9674961,-0.14350778,0.9814229,-0.081438124
0,0,city_7_sandiego_3p5,fre,0.5,0.96616316,-0.14949527,0.9752158,-0.10899274
0,0,city_8_dallas_3p5,fre,0.5,0.9741632,-0.11368292,0.98454523,-0.06764327
0,0,city_9_sanfrancisco_3p5,fre,0.5,0.9668069,-0.14660265,0.9761923,-0.10464624
0,0,city_10_austin_3p5,fre,0.5,0.96153915,-0.17033029,0.97527593,-0.10872492
0,0,city_11_santaclara_3p5,fre,0.5,0.9542361,-0.20344162,0.9683619,-0.139623
0,0,city_12_fortworth_3p5,fre,0.5,0.97461545,-0.11166706,0.9862773,-0.060009703
0,0,city_13_columbus_3p5,fre,0.5,0.969208,-0.13583009,0.9777785,-0.09759519
0,0,city_17_seattle_3p5_s,fre,0.5,0.95675457,-0.19199456,0.97119606,-0.1269309
0,0,city_18_denver_3p5,fre,0.5,0.97093123,-0.12811528,0.98747545,-0.054736905
0,0,city_19_oklahoma_3p5_s,fre,0.5,0.9151388,-0.3851304,0.9240169,-0.3432009
0,0,city_16_sanfrancisco_3p5_lwm,fre,0.5,0.94062823,-0.2658199,0.93516594,-0.2911132
0,0,city_23_beijing_3p5,fre,0.5,0.95118874,-0.21733297,0.9579579,-0.18653566
0,0,city_31_barcelona_3p5,fre,0.5,0.9258743,-0.33447975,0.92305785,-0.3477108
0,0,city_35_san_francisco_3p5,fre,0.5,0.9222174,-0.35166675,0.91387504,-0.39113182
0,0,city_47_chicago_3p5,fre,0.5,0.9289969,-0.31985727,0.9167973,-0.37726682
0,0,city_89_nairobi_3p5,fre,0.5,0.9049272,-0.4338636,0.90952337,-0.4118614
0,0,city_91_xiangyang_3p5,fre,0.5,0.9892954,-0.046740003,0.99816364,-0.00798254
0,0,city_92_sãopaulo_3p5,fre,0.5,0.95715654,-0.19017029,0.96899396,-0.13678929
0,0,boston5g_3p5,fre,0.5,0.9184156,-0.36960745,0.927753,-0.32567647
0,0,city_86_ankara_3p5,fre,0.5,0.9585832,-0.18370198,0.967053,-0.14549725
0,0,city_72_capetown_3p5,fre,0.5,0.95877916,-0.18281417,0.96285677,-0.16438311
0,0,city_84_baoding_3p5,fre,0.5,0.9183212,-0.37005395,0.92265916,-0.34958702
0,0,city_95_delhi_3p5,fre,0.5,0.892001,-0.4963467,0.9009972,-0.4527655
0,0,city_96_osaka_3p5,fre,0.5,0.9154708,-0.38355514,0.9284901,-0.3222272
0,0,city_88_tongshan_3p5,fre,0.5,0.9025619,-0.44523,0.9089965,-0.41437778
