scenario,top1_acc,top3_acc
boston5g_3p5,0.14989344059447104,0.36372247212254377
city_12_fortworth_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Error(s) in loading state_dict for WiFo:
	size mismatch for Embedding.value_embedding.tokenConv.weight: copying a param with shape torch.Size([512, 2, 4, 4, 4]) from checkpoint, the shape in current model is torch.Size([512, 2, 2, 4, 4]).
	size mismatch for decoder_pred.weight: copying a param with shape torch.Size([128, 512]) from checkpoint, the shape in current model is torch.Size([64, 512]).
	size mismatch for decoder_pred.bias: copying a param with shape torch.Size([128]) from checkpoint, the shape in current model is torch.Size([64])."
city_12_fortworth_3p5,ok,83,59076,14958,64,2.6594083781200077,0.2791488929453987,0.51201841694636,4.529778899412006,0.11151223425641467,0.2486294959049793,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_12_fortworth_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Expected generated movement channels with shape (N, 1, T, H, W), got (53661, 1, 8, 32)"
city_12_fortworth_3p5,ok,23,53661,8004,64,2.0791126482419324,0.3715361249318909,0.6188293173802276,2.6309400685485276,0.2809845077014458,0.5107446277755192,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_13_columbus_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Error(s) in loading state_dict for WiFo:
	size mismatch for Embedding.value_embedding.tokenConv.weight: copying a param with shape torch.Size([512, 2, 4, 4, 4]) from checkpoint, the shape in current model is torch.Size([512, 2, 2, 4, 4]).
	size mismatch for decoder_pred.weight: copying a param with shape torch.Size([128, 512]) from checkpoint, the shape in current model is torch.Size([64, 512]).
	size mismatch for decoder_pred.bias: copying a param with shape torch.Size([128]) from checkpoint, the shape in current model is torch.Size([64])."
city_13_columbus_3p5,ok,82,27207,6779,64,2.170970970330228,0.35009372582898124,0.6383651265188585,4.1520027431314155,0.1553326448834229,0.35595220532683186,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_13_columbus_3p5,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Expected generated movement channels with shape (N, 1, T, H, W), got (27182, 1, 8, 32)"
city_13_columbus_3p5,ok,31,26986,2216,64,1.4792029721931452,0.535388720077077,0.7902616172099073,2.2140920015879058,0.43998194945848373,0.6719314079422383,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
city_17_seattle_3p5_s,error,,,,,,,,,,,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,"Error(s) in loading state_dict for WiFo:
	size mismatch for Embedding.value_embedding.tokenConv.weight: copying a param with shape torch.Size([512, 2, 4, 4, 4]) from checkpoint, the shape in current model is torch.Size([512, 2, 2, 4, 4]).
	size mismatch for decoder_pred.weight: copying a param with shape torch.Size([128, 512]) from checkpoint, the shape in current model is torch.Size([64, 512]).
	size mismatch for decoder_pred.bias: copying a param with shape torch.Size([128]) from checkpoint, the shape in current model is torch.Size([64])."
city_17_seattle_3p5_s,ok,78,53858,13454,64,1.9382997071899277,0.43625830885866324,0.692673326085345,4.868025507954585,0.10718002081165452,0.23427976811642773,/home/blessedg/Pathformer/WiFo/src/weights/wifo_base.pkl,
