scenario,delay_rmse,power_rmse,phase_rmse,az_rmse,el_rmse,path_length_rmse,delay_mae,power_mae,phase_mae,avg_az_mae,avg_el_mae,path_length_mae,best_val_loss
city_47_chicago_3p5,0.05968561830302437,3.103380172406866,97.63872790741996,16.29787428701627,2.095999024808077,4.437616721597961,0.049604446046112756,2.667898444880461,92.28899827376773,12.329127933255988,1.7101987037692896,4.437616721597961,0.6017444425159031
city_23_beijing_3p5,0.31862297228434805,11.972006045211469,101.70420171902401,68.62280900141488,7.866894732537896,3.7548543005333865,0.2532963221748033,10.374855322516657,90.0720529098345,56.847840352773275,6.107421296517659,3.7548543005333865,0.916518417497476
city_10_florida_villa_7gp_1758095156175,0.46013020552576533,8.145770938623519,93.61458468891325,53.26199844129502,2.261696596656527,15.320830953759806,0.39419540597924163,7.447418456418173,75.25335454638042,44.32502208560232,1.878839634997504,15.320830953759806,1.1622052590052288
city_35_san_francisco_3p5,0.07105004161171846,2.947527898668056,99.74738698630206,12.21177769982973,2.409716322050158,2.2549994145755745,0.057616481426073056,2.559681598834232,91.66208935813566,8.885173383603053,1.9141358264937864,2.2549994145755745,0.5622226662105985
city_19_oklahoma_3p5_s,0.27153935149757075,24.61089023270142,102.97190517878019,61.2646320042049,11.950674904453573,7.884937256871902,0.20043965640724068,21.073125130770485,86.56572320392388,49.831216879040376,8.683406964474056,7.884937256871902,0.8679109537688485
city_92_sãopaulo_3p5,0.20587953558680075,7.8822919042944575,102.6052583610599,45.653647436312234,6.947758037517038,10.773978842563515,0.15625584756503036,6.883999834019572,89.872319542556,34.34280391978322,5.540476512070406,10.773978842563515,0.7494549369349063
city_12_fortworth_3p5,0.10771056868792725,13.543553422287212,101.33699253291142,47.00288995990918,4.959498500675513,8.947528639902687,0.08624200941851971,12.019682868691525,90.06984657207774,38.032706473040506,4.002572037531022,8.947528639902687,0.757206925469586
city_74_chiyoda_3p5,0.015611986709826987,1.2952972603126507,95.68285923252483,3.4121690514658916,0.6649066767891146,1.8017883196617828,0.012984615592944415,1.1302693115202225,91.79567895114596,2.434190700026097,0.5233637596905629,1.8017883196617828,0.5178221151967284
city_91_xiangyang_3p5,0.13434924377759785,7.9069473053501484,102.68474391330658,39.285615345293074,6.981264364657933,6.520082886592595,0.11088180303558677,6.745036444209249,90.1734924279817,29.597877506782815,5.531481622306594,6.520082886592595,0.7155054672197863
city_17_seattle_3p5_s,0.18023864312341925,19.09366898562732,91.01630976696137,47.05368627518553,11.88340657155712,2.904655630478639,0.13483916329070694,16.36710418321517,74.13873107362912,35.91249101060416,9.61431597513679,2.904655630478639,0.7222387110287288
city_47_chicago_3p5,0.09094660775326685,4.642896135846035,96.14525029746261,23.225887073234933,3.131627138657875,8.563800084120599,0.9780147343931757,0.9369088683654168,0.07825418250497367,4.088714835177573,90.54339434565951,19.02923457042106,2.6995890073602267,8.563800084120599,0.690238795015547
city_19_oklahoma_3p5_s,0.24732582054146418,15.160825044178951,95.4915291992121,58.218810335235624,11.902430776261498,5.964114511208734,0.7410438079312681,0.5501289080939759,0.1964306157194757,12.16613597541576,74.96921428815948,47.551057217981366,8.131972045338474,5.964114511208734,0.9297930245851949
city_47_chicago_3p5,0.053991501436174066,3.0203014921279525,97.9758112047988,14.949856798817594,2.0283960535993826,3.387686618815235,0.9982163629313687,0.9948928611080271,0.045041290131386656,2.635446409716954,92.56442019080508,11.152773333211297,1.6751455421613288,3.387686618815235,0.6259888543023003
city_47_chicago_3p5,0.055397569696610534,2.8270736085544588,97.83635019673298,15.030500072862504,2.0171365319134527,3.2838416854048287,0.9982939123691353,0.9951111111111111,0.044782666432243365,2.3897106877237486,92.35467436344878,10.98523187188658,1.6630059545513294,3.2838416854048287,0.5611160410775079
city_47_chicago_3p5,0.06341545495411623,3.486213415098389,97.87865411618733,18.581255479109892,2.399710555815574,2.4524733947429658,0.9972276075998449,0.9920462762111352,0.05304772170925968,3.036032727285771,92.34859454568463,14.328659203746748,2.0063202673245355,2.4524733947429658,0.6615104966693455
city_47_chicago_3p5,0.625190205444749,4.678596600515387,97.03898440262886,23.804301598196894,2.7906178709091845,3.239661179238807,0.9867584335013572,0.9612965376551256,0.5257777500972864,4.187330316059394,91.41860594666684,19.821414997908732,2.3666189522965766,3.239661179238807,1.9558253288269043
