scenario,delay_rmse,power_rmse,phase_rmse,az_rmse,el_rmse,path_length_rmse,delay_mae,power_mae,phase_mae,avg_az_mae,avg_el_mae,path_length_mae,best_val_loss
city_47_chicago_3p5,0.06134307386717827,2.93815612760737,96.68469346802665,17.85875236568032,1.884474145771762,0.11235573602918822,0.050617830924948086,2.54426536775843,91.66252027772396,13.944770375053553,1.4725600789270417,0.11235573602918822,0.5873714751667447
city_23_beijing_3p5,0.2896113270271462,8.074899802309607,102.01401245416604,68.84170243418262,7.643787430158003,0.5854783997368644,0.23450943954624862,7.192613914458406,90.3687427363792,55.64896493192473,6.230328903762883,0.5854783997368644,0.8181652666793929
city_91_xiangyang_3p5,0.13447849905091802,7.887133183878524,102.4899031795649,41.71050481344534,6.626476660604002,0.3742618580340367,0.10825217760429114,7.046113319574529,90.24348464165037,31.81273274882162,5.107693002029751,0.3742618580340367,0.5775178550006627
city_17_seattle_3p5_s,0.14113329212874084,7.706908337068589,81.7359005282516,41.429595846644574,10.55563705713022,0.6490921084155065,0.10850283313356811,6.449280537209682,62.27039666424911,31.14942601149905,7.999799526015097,0.6490921084155065,0.5095012159842365
city_12_fortworth_3p5,0.09845286626642871,7.005466710292436,100.9866030995644,45.690902525058725,4.445015019235037,0.5593649149354463,0.08057014352864837,6.193659225874509,89.77607599524416,36.35030350500305,3.441243996113232,0.5593649149354463,0.6504037079648075
city_92_sãopaulo_3p5,0.18223315304186347,5.259147602436858,102.2288949474638,38.79744159454877,6.500594338063318,0.2872737441630299,0.13152165507517252,4.6857833462182725,90.00099443042751,27.69989994244717,4.9788785630675765,0.2872737441630299,0.553282485039103
city_35_san_francisco_3p5,0.07559041325068327,2.774033264875313,97.24536835750648,13.876442122042542,2.4031828586219817,0.14746981935888792,0.06062516793542731,2.4063748105938454,90.78393443280616,10.419286800063817,1.8259356131107933,0.14746981935888792,0.5125484453307257
city_10_florida_villa_7gp_1758095156175,0.47120537942364105,7.735937714955163,75.61547955908473,51.27836960118914,1.8480842922060263,0.09514295274303072,0.4049086075098742,7.094437878850907,61.14673262153353,43.09117583850073,1.5599221288211762,0.09514295274303072,0.9467637340227762
city_19_oklahoma_3p5_s,0.23649218869407834,8.522385348088577,83.98359870601884,52.27162922171005,10.148192319550036,0.7219185989949749,0.17054649926077106,7.152453959890255,60.990034264265276,38.533193775654055,6.98870071710844,0.7219185989949749,0.42076250040618174
city_74_chiyoda_3p5,0.012140925677256218,0.9227121367189893,94.1617750223747,3.3237082421596464,0.559763070914886,0.037500330261304324,0.010079110757415292,0.8084768140823527,91.69287346540429,2.4024515684031438,0.44019398784183417,0.037500330261304324,0.4246252684421103
