scenario,delay_rmse,power_rmse,phase_rmse,az_rmse,el_rmse,path_length_rmse,interaction_accuracy,interaction_f1,delay_mae,power_mae,phase_mae,avg_az_mae,avg_el_mae,path_length_mae,best_val_loss
city_47_chicago_3p5,0.050599829269477585,2.3210358799263977,98.10245251281862,14.749553577645193,2.104269719472484,1.5497662631311169,0.9977316789453277,0.9934938553077907,0.04074010872918805,1.928909930140255,92.56062995412017,11.136315889537778,1.7699056647366933,1.5497662631311169,0.6095767021179199
city_23_beijing_3p5,0.2429316653516437,4.860621375671908,101.99143264841477,62.09129202185216,7.066225668373541,2.8142572978992035,0.8935822893629867,0.8448773535045785,0.19711189923022854,3.9978820779930957,90.32226997271367,49.77022461550576,5.705156060465647,2.8142572978992035,0.9675125479698181
city_91_xiangyang_3p5,0.1256821540647811,6.709371257439219,102.54693058632797,38.93107083038447,6.760693584641232,3.0011044216040847,0.8678455588286655,0.8801272396780058,0.10386222002569792,5.5610743738210635,89.98525112378954,29.986422237044746,5.433774585010386,3.0011044216040847,0.7386045455932617
city_17_seattle_3p5_s,0.15882229318082175,11.944738437040202,87.54842078097644,48.8464631197471,11.976490817877687,5.104459031276384,0.7554458833032356,0.6382945532923561,0.1310776604309161,9.52714311857714,68.52765126431326,39.202064112145564,9.247465719554313,5.104459031276384,0.8337506055831909
city_12_fortworth_3p5,0.07611448942804706,4.953922332277309,101.36316266511274,38.82349960009257,4.495882168345696,4.009614054921296,0.9289393611763253,0.8973449780685037,0.059310286775226255,4.028721649871661,90.09150941723537,29.43578405938181,3.475044453541632,4.009614054921296,0.7684536576271057
city_92_sãopaulo_3p5,0.19792147629954573,7.109656525306171,102.54641241211488,46.54331630039794,7.9612094065282255,4.579072490942546,0.8142084609371171,0.7596006670016141,0.15879445621143914,5.911771564147025,89.80463870022278,36.68563238825334,6.681227827407736,4.579072490942546,0.8254238367080688
city_35_san_francisco_3p5,0.06515967804604762,2.103298485084247,99.5897247524599,11.95774903845726,2.49462563819458,1.2951940058656366,0.9982305497640733,0.9952592701481019,0.04966160520363137,1.660245716752468,91.569447530392,8.735784100305981,2.033818449654938,1.2951940058656366,0.5804608464241028
city_10_florida_villa_7gp_1758095156175,0.4484669090618217,6.878774340190585,96.01178870579552,54.06768473987542,2.303492095735338,13.404165980917593,0.9617283950617284,0.9171122994652406,0.37445716082694985,5.955761761513967,74.18476087479364,45.650941930119956,2.024688668856545,13.404165980917593,1.3513469696044922
city_19_oklahoma_3p5_s,0.21800404291679165,5.852821168369094,82.60480952658791,49.432708460816244,10.046817623019027,2.593364184092738,0.8161645356128642,0.6994665840286279,0.1637650589078299,4.671624057080338,60.06674748179399,37.70035245800696,7.132896149969653,2.593364184092738,0.7485304474830627
city_74_chiyoda_3p5,0.01212731980299788,0.7924271488326413,95.63951140195515,2.7528223406581227,0.5758831206929467,1.51482693019684,0.999801714051924,0.999358447733811,0.010124103869554145,0.6666359808282889,91.73979672207918,1.9707286705977556,0.45551969724820235,1.51482693019684,0.5171945691108704
