scenario,val_mde
city_47_chicago_3p5,0.0858557
city_23_beijing_3p5,0.06514342
city_91_xiangyang_3p5,42.333412
city_17_seattle_3p5_s,12.987223
city_12_fortworth_3p5,21.429832
city_92_sãopaulo_3p5,25.349203
city_35_san_francisco_3p5,0.08631872
city_10_florida_villa_7gp_1758095156175,444.39334
city_19_oklahoma_3p5_s,9.561314
city_74_chiyoda_3p5,0.0041442835
