delay_rmse,power_rmse,phase_rmse,az_rmse,el_rmse,delay_mae,power_mae,phase_mae,az_mae,el_mae,path_length_rmse,path_length_mae,scenario,n_val,n_eval,n_skipped_no_tx_match,k,knn_mode,error
0.01603909030275239,0.6950638787548004,100.49360806077159,8.185532785051821,0.6595665860609846,0.011863337593258472,0.5451800357481553,95.57096856382778,6.1494223955837075,0.4636957258909814,0.008539379045520316,0.008539379045520316,city_47_chicago_3p5,5646.0,5646.0,0.0,3.0,average,
0.2024137419646782,2.2225365455209687,103.77260455577546,51.86914858839309,4.546377021200149,0.14593561188304707,1.7191126859666566,92.24342110500201,38.88591688263011,3.2674714309893456,0.020458448345184586,0.020458448345184586,city_23_beijing_3p5,9205.0,9205.0,0.0,3.0,average,
0.06881473240184538,1.1244788666288106,106.96589047044361,31.295702215756407,3.8385205729176963,0.04715902061404405,0.8812979720142596,94.37184044786858,21.9349303697447,2.6024212755937564,0.0021982278504349426,0.0021982278504349426,city_91_xiangyang_3p5,36490.0,36490.0,0.0,3.0,average,
0.11222053244933027,4.192469859606,75.56729037336615,49.367131698111166,8.937439314901912,0.08195626453791077,3.285905852599127,59.82374980061756,37.32116970341233,6.571942946983223,0.04216243038199021,0.04216243038199021,city_17_seattle_3p5_s,13454.0,13454.0,0.0,3.0,average,
0.039085198702971086,1.2470283710376286,104.66507215421139,32.40043962189787,2.373959022286056,0.026101325400347833,0.9380217229379014,93.55481753882948,22.358892351849644,1.6429217463994117,0.018030040145920533,0.018030040145920533,city_12_fortworth_3p5,14958.0,14958.0,0.0,3.0,average,
0.10546356345803486,0.9346134969232766,105.43582323932577,32.27639433035968,3.6843679936980056,0.06616862910076883,0.7233392687791306,91.96421187728318,20.90864017238732,2.453417025732579,0.0011564144223569642,0.0011564144223569642,city_92_sãopaulo_3p5,39536.0,39536.0,0.0,3.0,average,
0.026838112599056153,0.7973799853175947,104.60863411936084,10.21007427578834,0.898927886937477,0.01898812379375625,0.6156110217863878,96.98933103139422,7.2003741753405,0.6126806491931435,0.011157522176483036,0.011157522176483036,city_35_san_francisco_3p5,5650.0,5650.0,0.0,3.0,average,
0.22970686382823693,4.36248056408284,64.96487148116732,53.809087465869055,1.3573405494894981,0.20021407391639456,4.061053736578851,57.71022100652021,49.53122662438287,1.1293606695674714,0.05913227557662933,0.05913227557662933,city_10_florida_villa_7gp_1758095156175,315.0,315.0,0.0,3.0,average,
0.18049317406689222,3.24144704700076,72.0633404268641,51.22957946605226,8.440564386172444,0.11995732317806392,2.3640358647917488,53.86788028970287,36.35398187254515,5.543670426186284,0.03333180489236815,0.03333180489236815,city_19_oklahoma_3p5_s,17444.0,17444.0,0.0,3.0,average,
,,,,,,,,,,,,city_74_chiyoda_3p5,,,,,,"Unable to allocate 940. GiB for an array with shape (145298, 578664, 3) and data type float32"
