delay_rmse,power_rmse,phase_rmse,az_rmse,el_rmse,delay_mae,power_mae,phase_mae,az_mae,el_mae,path_length_rmse,path_length_mae,scenario,n_val,n_eval,n_skipped_no_tx_match,k,knn_mode
0.020026272981975624,0.853996278948929,99.57117126087664,8.581598043210674,0.788157733572468,0.01470589658300554,0.6615347571141016,95.8428387880072,6.245268356114734,0.5513069094587173,0.009911441706382253,0.009911441706382253,city_47_chicago_3p5,5646,5646,0,3,kth
0.2550933520258091,3.104955594167875,103.00566472929499,54.61939775749628,5.866226747404142,0.16607504470540876,2.2740414211163547,92.10818146462677,37.46233181793218,3.8219108381652944,0.027728408828402006,0.027728408828402006,city_23_beijing_3p5,9205,9205,0,3,kth
0.08461135558084615,1.5237987648898932,105.5720882740567,28.51950761304124,4.741430980618017,0.053214411051917196,1.1914734385196653,94.45251704392678,17.98943586898246,2.964228586494798,0.002736092156075425,0.002736092156075425,city_91_xiangyang_3p5,36490,36490,0,3,kth
0.1422563081401114,5.509157525014974,77.62749088854005,41.47256884135758,10.96936509669849,0.09592222799048526,4.141223608388372,58.17324719515525,28.143968091330954,7.458076146658941,0.05165155367352322,0.05165155367352322,city_17_seattle_3p5_s,13454,13454,0,3,kth
0.050783959856241734,1.7759736000675814,103.91872410519841,28.755877255981783,3.0677005685312686,0.031200056395100702,1.3296200232937692,93.75594826289112,18.020895690028784,1.9484495309259897,0.024428399695378127,0.024428399695378127,city_12_fortworth_3p5,14958,14958,0,3,kth
0.12654835137585152,1.2304370534481937,103.68975975978042,26.960700976784267,4.562865484586203,0.07272346381693447,0.9375573361128718,92.23833296583979,16.28642267316279,2.8174429958538676,0.0014154188989242142,0.0014154188989242142,city_92_sãopaulo_3p5,39536,39536,0,3,kth
0.03414939719555335,1.0218262733986079,102.95842923871184,8.283054822174156,1.0855317528525639,0.023456830088584502,0.7661071865319427,97.60025902165776,5.541713854104808,0.7175813716286598,0.013946902645108974,0.013946902645108974,city_35_san_francisco_3p5,5650,5650,0,3,kth
0.41037245181699594,6.439789441044605,68.4843445187028,52.770034641216675,2.084906045690785,0.3385571366146443,5.883741279585021,56.43862332798659,46.08921439600369,1.6600080964288542,0.07695238074612996,0.07695238074612996,city_10_florida_villa_7gp_1758095156175,315,315,0,3,kth
0.22787150920979424,4.357567814321955,75.20125164034994,47.40524109192188,10.34491683582673,0.1365688205676563,3.0476361759641457,51.68535638952663,30.091046982997295,6.205399232324553,0.040809447368202446,0.040809447368202446,city_19_oklahoma_3p5_s,17444,17444,0,3,kth
0.0019882663753761037,0.12361432524392423,80.4811386696896,1.1946576937847182,0.1331913850037524,0.0013947404487508433,0.09330382348385405,77.96740848226136,0.8469053977617137,0.08957937544717788,0.0021974149508943684,0.0021974149508943684,city_74_chiyoda_3p5,145298,145298,0,3,kth
