stage,epoch,dataset,mask_strategy,mask_ratio,nmse,nmse_db,last_nmse,last_nmse_db
0,0,city_0_newyork_3p5_s,fre,0.5,0.9250268,-0.33845696,0.9116392,-0.40177003
0,0,city_1_losangeles_3p5,fre,0.5,0.9742841,-0.113143794,0.98760694,-0.054158658
0,0,city_2_chicago_3p5,fre,0.5,0.97556996,-0.107415795,0.9843483,-0.06851206
0,0,city_3_houston_3p5,fre,0.5,0.96124506,-0.17165878,0.97016406,-0.13154818
0,0,city_4_phoenix_3p5,fre,0.5,0.9631086,-0.16324739,0.9742934,-0.11310235
0,0,city_5_philadelphia_3p5,fre,0.5,0.9697539,-0.13338456,0.98582137,-0.062017735
0,0,city_6_miami_3p5,fre,0.5,0.9674961,-0.14350778,0.9814229,-0.081438124
0,0,city_7_sandiego_3p5,fre,0.5,0.96616316,-0.14949527,0.9752158,-0.10899274
0,0,city_8_dallas_3p5,fre,0.5,0.9741632,-0.11368292,0.98454523,-0.06764327
0,0,city_9_sanfrancisco_3p5,fre,0.5,0.9668069,-0.14660265,0.9761923,-0.10464624
