stage,epoch,dataset,mask_strategy,mask_ratio,nmse,nmse_db,last_nmse,last_nmse_db
0,5,city_47_chicago_3p5,random,0.85,0.5552352,-2.5552301,1.2594131,1.0016822
0,5,city_47_chicago_3p5,temporal,0.5,1.1808366,0.7218979,1.2681904,1.0318446
0,5,city_47_chicago_3p5,fre,0.5,0.1625646,-7.88974,0.44377437,-3.5283778
